电影名,上映天数,总票房,实时票房,票房占比,排片占比,上座率,排座占比,场次,人次,场均人次,场均收入,平均票价,网址
前任3：再见前任,上映10天,11.96亿,1.18亿,61.23%,44.55%,34.42%,48.08%,11.84万,350.63万,29,958,33,http://dianying.nuomi.com/movie/detail?movieId=10190
星球大战：最后的绝地武士,上映3天,1.74亿,3628万,18.83%,23.17%,16.73%,27.14%,6.16万,96.18万,16,566,37,http://dianying.nuomi.com/movie/detail?movieId=10323
芳华,上映24天,13.49亿,1384.8万,7.19%,9.55%,26.88%,7.41%,2.54万,42.23万,17,524,32,http://dianying.nuomi.com/movie/detail?movieId=94906
寻梦环游记,上映45天,11.94亿,689.9万,3.58%,4.25%,29.13%,3.47%,1.13万,21.42万,19,587,32,http://dianying.nuomi.com/movie/detail?movieId=95322
二代妖精之今生有幸,上映10天,2.59亿,492.1万,2.55%,4.32%,21.33%,3.25%,1.15万,14.67万,13,411,33,http://dianying.nuomi.com/movie/detail?movieId=95034
妖猫传,上映17天,5.15亿,307.9万,1.6%,2.07%,25.27%,1.67%,5513,8.92万,16,537,34,http://dianying.nuomi.com/movie/detail?movieId=63014
妖铃铃,上映10天,3.49亿,305.8万,1.59%,4.6%,12.4%,3.53%,1.22万,9.28万,8,240,32,http://dianying.nuomi.com/movie/detail?movieId=95289
解忧杂货店,上映10天,2.14亿,294万,1.53%,3.23%,18.68%,2.33%,8593,9.20万,11,329,31,http://dianying.nuomi.com/movie/detail?movieId=95251
帕丁顿熊2,上映31天,2.05亿,105.2万,0.55%,0.64%,34.11%,0.47%,1691,3.42万,20,598,30,http://dianying.nuomi.com/movie/detail?movieId=95307
小猫巴克里,上映9天,1068.4万,69.3万,0.36%,0.96%,14.84%,0.76%,2559,2.38万,9,260,29,http://dianying.nuomi.com/movie/detail?movieId=95431
咕噜咕噜美人鱼2,上映9天,961.4万,50.6万,0.26%,0.98%,12.98%,0.72%,2611,1.97万,8,186,25,http://dianying.nuomi.com/movie/detail?movieId=95362
机器之血,上映17天,3.03亿,32.9万,0.17%,0.56%,12.37%,0.37%,1492,9810,7,212,33,http://dianying.nuomi.com/movie/detail?movieId=94973
心理罪之城市之光,上映17天,2.21亿,23.9万,0.12%,0.32%,17.22%,0.2%,858,7475,9,268,32,http://dianying.nuomi.com/movie/detail?movieId=94870
勇敢者游戏：决战丛林,上映-5天,19.8万,20.6万,0.11%,0.02%,44.94%,0.05%,60,4332,70,3306,47,http://dianying.nuomi.com/movie/detail?movieId=95351
至爱梵高·星空之谜,上映31天,6778.6万,16.8万,0.09%,0.13%,26.96%,0.1%,347,5480,16,464,30,http://dianying.nuomi.com/movie/detail?movieId=95340
妈妈咪鸭,上映-61天,28.2万,16.1万,0.08%,0.09%,30.12%,0.08%,242,5330,22,641,30,http://dianying.nuomi.com/movie/detail?movieId=95294
卧底巨星,上映-5天,13.6万,10.3万,0.05%,0%,100%,0%,2,339,164,49401,302,http://dianying.nuomi.com/movie/detail?movieId=95271
尼斯：疯狂的心,上映3天,26.9万,8.3万,0.04%,0.17%,8.53%,0.15%,454,2705,6,176,30,http://dianying.nuomi.com/movie/detail?movieId=95465
至暗时刻,上映38天,3702.5万,5万,0.03%,0.02%,58.99%,0.01%,62,1214,19,775,41,http://dianying.nuomi.com/movie/detail?movieId=95344
奇门遁甲,上映25天,2.99亿,3.4万,0.02%,0.07%,9.99%,0.05%,174,989,6,185,33,http://dianying.nuomi.com/movie/detail?movieId=10195
